Street_Number,Street_Name,Street_Side,Skytrain_Station_Name,BIA,Number_of_Racks,Year_Installed,Latitude,Longitude,Full_Name
1900,W Broadway,South,,,1,Prior 2010,49.2635701,-123.1483522,1900 W Broadway
2581,W Broadway,North,,,1,Prior 2010,49.2641866,-123.1643112,2581 W Broadway
2684,W Broadway,South,,,1,Prior 2010,49.2638675,-123.1659534,2684 W Broadway
2951,W Broadway,West,,WB,1,2017,49.2642541,-123.171086,2951 W Broadway
3036,W Broadway,South,,WB,1,2011,49.26403579999999,-123.1729424,3036 W Broadway
3045,W Broadway,North,,WB,1,2011,49.2643598,-123.1728515,3045 W Broadway
3091,W Broadway,North,,WB,1,2011,49.2643262,-123.1736827,3091 W Broadway
3135,W Broadway,North,,WB,1,2011,49.2644282,-123.1747976,3135 W Broadway
3235,W Broadway,North,,WB,1,2011,49.2643765,-123.1766989,3235 W Broadway
3287,W Broadway,North,,,1,Prior 2010,49.2644381,-123.1774406,3287 W Broadway
3298,W Broadway,South,,,1,Prior 2010,49.2640396,-123.1777086,3298 W Broadway
3349,W Broadway,North,,WB,1,2011,49.26437929999999,-123.1789192,3349 W Broadway
3422,W Broadway,South,,WB,1,2011,49.2641441,-123.1803149,3422 W Broadway
403,W Cordova St,North,,GT,2,2012,49.2842005,-123.1099852,403 W Cordova St
1100,W Cordova St,South,,,1,2012,49.2884427,-123.1205325,1100 W Cordova St
885,W Georgia St,North,,,2,Prior 2010,49.28615689999999,-123.123229,885 W Georgia St
227,W Hastings St,North,,,5,2011,49.2828042,-123.1099924,227 W Hastings St
473,W Hastings St,North,,,1,2012,49.2839981,-123.1114231,473 W Hastings St
492,W Hastings St,South,,,1,Prior 2010,49.2838734,-123.1119443,492 W Hastings St
601,W Hastings St,North,,,2,2010,49.2849231,-123.1128093,601 W Hastings St
602,W Hastings St,South,,,1,Prior 2010,49.2847889,-123.113677,602 W Hastings St
609,W Hastings St,North,,,2,2010,49.284977,-123.1130803,609 W Hastings St
1055,W Hastings St,North,,,2,2010,49.28765749999999,-123.1183816,1055 W Hastings St
1177,W Hastings St,North,,,2,2010,49.28875439999999,-123.1215934,1177 W Hastings St
33,W Pender St,North,,,2,2015,49.2812934,-123.1062025,33 W Pender St
338,W Pender St,South,,HC,1,2013,49.2824597,-123.1117436,338 W Pender St
605,W Pender St,North,,,1,2011,49.2841694,-123.1138972,605 W Pender St
402,W Pender St,South,,,1,Prior 2010,49.2827284,-123.1123091,402 W Pender St
1500,Yew St,East,,,1,2015,49.2724572,-123.1548186,1500 Yew St
1520,Yew St,East,,,1,2015,49.2721881,-123.1548189,1520 Yew St
2201,York Av,North,,,2,2014,49.2718162,-123.1552321,2201 York Av
2204,York Av,South,,,1,Prior 2010,49.2715562,-123.1554102,2204 York Av
896,Cambie St,South,,YT,2,2016,49.27724449999999,-123.1162413,896 Cambie St
